,Manager_Name,Player_Name,NFL_Team,col_count,Player_Abbr,Wildcard,Division,Conference,Super Bowl,Super Bowl Winner
0,Touch of the Downs,Trevor Lawrence,JAX,3,T.Lawrence,True,False,False,False,False
1,Touch of the Downs,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
2,Touch of the Downs,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
3,Touch of the Downs,Aaron Rodgers,PIT,3,A.Rodgers,True,False,False,False,False
4,Touch of the Downs,Christian McCaffrey,SF,2,C.McCaffrey,True,True,False,False,False
5,Touch of the Downs,James Cook,BUF,3,J.Cook,True,True,False,False,False
6,Touch of the Downs,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
7,Touch of the Downs,Brian Robinson,SF,2,B.Robinson,True,True,False,False,False
8,Touch of the Downs,Davante Adams,LA,2,D.Adams,True,True,True,False,False
9,Touch of the Downs,Khalil Shakir,BUF,3,K.Shakir,True,True,False,False,False
10,Touch of the Downs,Kayshon Boutte,NE,2,K.Boutte,True,True,True,True,False
11,Touch of the Downs,DK Metcalf,PIT,3,D.Metcalf,True,False,False,False,False
12,Touch of the Downs,Josh Palmer,BUF,3,J.Palmer,True,True,False,False,False
13,Touch of the Downs,Calvin Austin III,PIT,3,C.Austin,True,False,False,False,False
14,Touch of the Downs,Dallas Goedert,PHI,3,D.Goedert,True,False,False,False,False
15,Touch of the Downs,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
16,Touch of the Downs,AJ Barner,SEA,3,A.Barner,False,True,True,True,True
17,Touch of the Downs,Pat Freiermuth,PIT,3,P.Freiermuth,True,False,False,False,False
18,Maye Day / Mark LaBossiere ,Drake Maye,NE,2,D.Maye,True,True,True,True,False
19,Maye Day / Mark LaBossiere ,Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
20,Maye Day / Mark LaBossiere ,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
21,Maye Day / Mark LaBossiere ,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
22,Maye Day / Mark LaBossiere ,Kenneth Walker III,SEA,3,K.Walker,False,True,True,True,True
23,Maye Day / Mark LaBossiere ,TreVeyon Henderson,NE,2,T.Henderson,True,True,True,True,False
24,Maye Day / Mark LaBossiere ,Zach Charbonnet,SEA,3,Z.Charbonnet,False,True,True,True,True
25,Maye Day / Mark LaBossiere ,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
26,Maye Day / Mark LaBossiere ,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
27,Maye Day / Mark LaBossiere ,Stefon Diggs,NE,2,S.Diggs,True,True,True,True,False
28,Maye Day / Mark LaBossiere ,Kayshon Boutte,NE,2,K.Boutte,True,True,True,True,False
29,Maye Day / Mark LaBossiere ,Rashid Shaheed,SEA,3,R.Shaheed,False,True,True,True,True
30,Maye Day / Mark LaBossiere ,DeMario Douglas,NE,2,D.Douglas,True,True,True,True,False
31,Maye Day / Mark LaBossiere ,Tutu Atwell,LA,17,T.Atwell,True,True,True,False,False
32,Maye Day / Mark LaBossiere ,Hunter Henry,NE,2,H.Henry,True,True,True,True,False
33,Maye Day / Mark LaBossiere ,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
34,Maye Day / Mark LaBossiere ,AJ Barner,SEA,3,A.Barner,False,True,True,True,True
35,Maye Day / Mark LaBossiere ,Austin Hooper,NE,2,A.Hooper,True,True,True,True,False
36,Mike's legion of boomers ,Trevor Lawrence,JAX,3,T.Lawrence,True,False,False,False,False
37,Mike's legion of boomers ,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
38,Mike's legion of boomers ,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
39,Mike's legion of boomers ,Bryce Young,CAR,3,B.Young,True,False,False,False,False
40,Mike's legion of boomers ,Kenneth Walker III,SEA,3,K.Walker,False,True,True,True,True
41,Mike's legion of boomers ,Travis Etienne,JAX,3,T.Etienne,True,False,False,False,False
42,Mike's legion of boomers ,Zach Charbonnet,SEA,3,Z.Charbonnet,False,True,True,True,True
43,Mike's legion of boomers ,Rico Dowdle,CAR,3,R.Dowdle,True,False,False,False,False
44,Mike's legion of boomers ,Jaxon Smith-Njigba,SEA,3,J.Smith-Njigba,False,True,True,True,True
45,Mike's legion of boomers ,Jayden Reed,GB,2,J.Reed,True,False,False,False,False
46,Mike's legion of boomers ,Pat Bryant,DEN,3,P.Bryant,False,True,True,False,False
47,Mike's legion of boomers ,Cooper Kupp,SEA,3,C.Kupp,False,True,True,True,True
48,Mike's legion of boomers ,Kyle Williams,NE,2,K.Williams,True,True,True,True,False
49,Mike's legion of boomers ,Marvin Mims Jr.,DEN,3,M.Mims,False,True,True,False,False
50,Mike's legion of boomers ,Hunter Henry,NE,2,H.Henry,True,True,True,True,False
51,Mike's legion of boomers ,Brenton Strange,JAX,3,B.Strange,True,False,False,False,False
52,Mike's legion of boomers ,AJ Barner,SEA,3,A.Barner,False,True,True,True,True
53,Mike's legion of boomers ,Austin Hooper,NE,2,A.Hooper,True,True,True,True,False
54,I Touchdown There (JC),Drake Maye,NE,2,D.Maye,True,True,True,True,False
55,I Touchdown There (JC),Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
56,I Touchdown There (JC),Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
57,I Touchdown There (JC),C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
58,I Touchdown There (JC),Kenneth Walker III,SEA,3,K.Walker,False,True,True,True,True
59,I Touchdown There (JC),TreVeyon Henderson,NE,2,T.Henderson,True,True,True,True,False
60,I Touchdown There (JC),Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
61,I Touchdown There (JC),Rico Dowdle,CAR,3,R.Dowdle,True,False,False,False,False
62,I Touchdown There (JC),Jaxon Smith-Njigba,SEA,3,J.Smith-Njigba,False,True,True,True,True
63,I Touchdown There (JC),Stefon Diggs,NE,2,S.Diggs,True,True,True,True,False
64,I Touchdown There (JC),DJ Moore,CHI,3,D.Moore,True,True,False,False,False
65,I Touchdown There (JC),DK Metcalf,PIT,3,D.Metcalf,True,False,False,False,False
66,I Touchdown There (JC),Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
67,I Touchdown There (JC),Christian Kirk,HOU,3,C.Kirk,True,True,False,False,False
68,I Touchdown There (JC),George Kittle,SF,2,G.Kittle,True,True,False,False,False
69,I Touchdown There (JC),Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
70,I Touchdown There (JC),Dalton Schultz,HOU,3,D.Schultz,True,True,False,False,False
71,I Touchdown There (JC),Oronde Gadsden II,LAC,3,O.Gadsden,True,False,False,False,False
72,DUUUUUUUUUUUUUVAL,Trevor Lawrence,JAX,3,T.Lawrence,True,False,False,False,False
73,DUUUUUUUUUUUUUVAL,Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
74,DUUUUUUUUUUUUUVAL,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
75,DUUUUUUUUUUUUUVAL,Jordan Love,GB,2,J.Love,True,False,False,False,False
76,DUUUUUUUUUUUUUVAL,Kyren Williams,LA,2,K.Williams,True,True,True,False,False
77,DUUUUUUUUUUUUUVAL,James Cook,BUF,3,J.Cook,True,True,False,False,False
78,DUUUUUUUUUUUUUVAL,Josh Jacobs,GB,2,J.Jacobs,True,False,False,False,False
79,DUUUUUUUUUUUUUVAL,Rico Dowdle,CAR,3,R.Dowdle,True,False,False,False,False
80,DUUUUUUUUUUUUUVAL,Puka Nacua,LA,2,P.Nacua,True,True,True,False,False
81,DUUUUUUUUUUUUUVAL,Stefon Diggs,NE,2,S.Diggs,True,True,True,True,False
82,DUUUUUUUUUUUUUVAL,Rome Odunze,CHI,3,R.Odunze,True,True,False,False,False
83,DUUUUUUUUUUUUUVAL,Tetairoa McMillan,CAR,3,T.McMillan,True,False,False,False,False
84,DUUUUUUUUUUUUUVAL,Keon Coleman,BUF,3,K.Coleman,True,True,False,False,False
85,DUUUUUUUUUUUUUVAL,Jaylin Noel,HOU,3,J.Noel,True,True,False,False,False
86,DUUUUUUUUUUUUUVAL,George Kittle,SF,2,G.Kittle,True,True,False,False,False
87,DUUUUUUUUUUUUUVAL,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
88,DUUUUUUUUUUUUUVAL,Tyler Higbee,LA,2,T.Higbee,True,True,True,False,False
89,DUUUUUUUUUUUUUVAL,Oronde Gadsden II,LAC,3,O.Gadsden,True,False,False,False,False
90,Wide Right Redemption - Tanja ,Josh Allen,BUF,3,J.Allen,True,True,False,False,False
91,Wide Right Redemption - Tanja ,Jalen Hurts,PHI,3,J.Hurts,True,False,False,False,False
92,Wide Right Redemption - Tanja ,Sam Darnold,SEA,3,S.Darnold,False,True,True,True,True
93,Wide Right Redemption - Tanja ,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
94,Wide Right Redemption - Tanja ,Saquon Barkley,PHI,3,S.Barkley,True,False,False,False,False
95,Wide Right Redemption - Tanja ,James Cook,BUF,3,J.Cook,True,True,False,False,False
96,Wide Right Redemption - Tanja ,Zach Charbonnet,SEA,3,Z.Charbonnet,False,True,True,True,True
97,Wide Right Redemption - Tanja ,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
98,Wide Right Redemption - Tanja ,DeVonta Smith,PHI,3,D.Smith,True,False,False,False,False
99,Wide Right Redemption - Tanja ,Khalil Shakir,BUF,3,K.Shakir,True,True,False,False,False
100,Wide Right Redemption - Tanja ,DJ Moore,CHI,3,D.Moore,True,True,False,False,False
101,Wide Right Redemption - Tanja ,Jayden Higgins,HOU,3,J.Higgins,True,True,False,False,False
102,Wide Right Redemption - Tanja ,Brandin Cooks,BUF,3,B.Cooks,True,True,False,False,False
103,Wide Right Redemption - Tanja ,Marvin Mims Jr.,DEN,3,M.Mims,False,True,True,False,False
104,Wide Right Redemption - Tanja ,George Kittle,SF,2,G.Kittle,True,True,False,False,False
105,Wide Right Redemption - Tanja ,Dalton Kincaid,BUF,3,D.Kincaid,True,True,False,False,False
106,Wide Right Redemption - Tanja ,Dalton Schultz,HOU,3,D.Schultz,True,True,False,False,False
107,Wide Right Redemption - Tanja ,Austin Hooper,NE,2,A.Hooper,True,True,True,True,False
108,The Cannoli Fillers,Josh Allen,BUF,3,J.Allen,True,True,False,False,False
109,The Cannoli Fillers,Matthew Stafford,LA,2,M.Stafford,True,True,True,False,False
110,The Cannoli Fillers,Caleb Williams,CHI,3,C.Williams,True,True,False,False,False
111,The Cannoli Fillers,C.J. Stroud,HOU,3,C.Stroud,True,True,False,False,False
112,The Cannoli Fillers,Kyren Williams,LA,2,K.Williams,True,True,True,False,False
113,The Cannoli Fillers,James Cook,BUF,3,J.Cook,True,True,False,False,False
114,The Cannoli Fillers,Woody Marks,HOU,3,W.Marks,True,True,False,False,False
115,The Cannoli Fillers,Ty Johnson,BUF,14,Ty.Johnson,True,True,False,False,False
